,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Petroleum Planning & Analysis Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
('000 Metric Tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Import/Export of Crude oil and Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPORT/EXPORT,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,TOTAL,,,,,,,,,,,,,,,,,,,,,
IMPORT*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 CRUDE OIL,15737,13784,13935,13750,14264,12990,12463,14850,13933,17017,13719,15289,171729,,,,,,,,,,,,,,,,,,,,,
PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPG,419,469,482,495,428,504,453,447,475,512,514,592,5790,,,,,,,,,,,,,,,,,,,,,
MS,20,0,215,135,108,36,140,0,0,0,0,0,654,,,,,,,,,,,,,,,,,,,,,
Naphtha,153,133,162,227,122,202,182,274,240,111,108,175,2091,,,,,,,,,,,,,,,,,,,,,
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SKO,129,141,111,110,73,0,0,0,0,0,0,0,564,,,,,,,,,,,,,,,,,,,,,
HSD,508,40,192,0,16,1,5,2,22,207,62,4,1059,,,,,,,,,,,,,,,,,,,,,
LOBS/ Lube oil,116,101,105,82,150,133,94,165,131,128,107,123,1434,,,,,,,,,,,,,,,,,,,,,
Fuel Oil,95,21,60,141,183,159,56,137,81,10,171,90,1203,,,,,,,,,,,,,,,,,,,,,
Bitumen,7,9,2,5,1,2,1,5,6,3,15,22,78,,,,,,,,,,,,,,,,,,,,,
Others&,256,281,293,214,241,233,141,344,175,264,240,295,2977,,,,,,,,,,,,,,,,,,,,,
PRODUCT IMPORT,1701,1195,1620,1409,1324,1269,1073,1375,1130,1235,1217,1301,15849,,,,,,,,,,,,,,,,,,,,,
TOTAL IMPORT,17438,14979,15555,15159,15588,14259,13536,16225,15063,18252,14935,16590,187579,,,,,,,,,,,,,,,,,,,,,
PRODUCT EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPG,13,16,13,12,10,16,15,16,15,12,18,17,174,,,,,,,,,,,,,,,,,,,,,
MS!,1184,1476,1359,1144,1076,1295,886,1052,1422,1089,1010,1528,14524,,,,,,,,,,,,,,,,,,,,,
Naphtha,870,800,818,977,998,752,635,1025,780,775,842,866,10139,,,,,,,,,,,,,,,,,,,,,
ATF#,295,337,436,418,456,461,521,429,411,307,245,245,4561,,,,,,,,,,,,,,,,,,,,,
SKO,2,4,2,3,2,3,2,2,3,4,4,4,34,,,,,,,,,,,,,,,,,,,,,
HSD,1391,2164,1587,1637,1721,1916,2079,1731,1705,1262,1122,2092,20407,,,,,,,,,,,,,,,,,,,,,
LDO,9,9,6,9,9,8,9,0,8,0,8,9,84,,,,,,,,,,,,,,,,,,,,,
LOBS/ Lube Oil,0,0,0,0,0,0,0,0,5,4,12,4,27,,,,,,,,,,,,,,,,,,,,,
Fuel Oil,403,678,663,766,816,670,587,632,700,761,606,614,7895,,,,,,,,,,,,,,,,,,,,,
Bitumen,2,0,2,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,
Others,428,275,177,262,169,215,290,274,148,144,305,300,2988,,,,,,,,,,,,,,,,,,,,,
TOTAL  PRODUCT EXPORT,4598,5757,5065,5229,5257,5336,5025,5163,5197,4359,4171,5679,60837,,,,,,,,,,,,,,,,,,,,,
NET IMPORT,12840,9222,10490,9930,10331,8922,8511,11062,9866,13893,10764,10911,126741,,,,,,,,,,,,,,,,,,,,,
Note :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Oil Companies & DGCIS  P= Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIL SEZ imports/exports included in country's import/export data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^LNG import not included ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"& Others in import include Petcoke, Paraffin wax, Petroleum Jelly, Aviation Gas, MTBE, Reformate etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ Nepal sales by IOCL, Nepal and Bhutan sales by BPCL are considered in total exports with average Rupee-US$ exchange rate ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
! RIL SEZ's MS export includes export of Alkylates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ATF exports by RIL  does not include ATF sales to foreign going airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% Others in export include Petcoke/CBFS, Benzene, Hexane, MTO, Sulphur etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
