,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Petroleum Planning & Analysis Cell,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2013-14 ,,,,,,,,,,,,,
('000 Metric Tonnes),,,,,,,,,,,,,
Import/Export of Crude oil and Petroleum Products,,,,,,,,,,,,,
IMPORT/EXPORT,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,TOTAL
IMPORT*,,,,,,,,,,,,,
 CRUDE OIL,16408,17181,14310,16353,17573,15082,15361,14614,15822,15503,16515,14516,189238
PRODUCTS,,,,,,,,,,,,,
LPG,520,601,345,400,553,573,643,352,666,713,651,551,6567
MS,0,15,115,76,0,0,29,0,0,0,0,0,235
Naphtha,66,66,125,95,100,156,73,108,93,66,56,17,1020
ATF,0,0,0,0,0,0,0,0,0,0,0,0,0
SKO,0,0,0,0,0,0,0,0,0,0,0,0,0
HSD,6,17,0,1,3,1,3,29,4,2,7,5,77
LOBS/ Lube oil,147,212,140,185,151,103,188,121,230,269,186,158,2090
Fuel Oil,108,60,48,182,147,121,168,40,122,66,96,175,1331
Bitumen,25,32,7,7,2,5,11,21,22,20,63,32,246
Others&,312,467,262,470,441,589,471,414,272,519,436,476,5130
PRODUCT IMPORT,1182,1470,1042,1417,1398,1547,1586,1085,1408,1655,1495,1413,16697
TOTAL IMPORT,17590,18651,15352,17770,18971,16629,16947,15700,17230,17158,18010,15929,205935
PRODUCT EXPORT,,,,,,,,,,,,,
LPG,19,17,17,18,21,18,15,17,20,23,21,22,227
MS!,1211,1403,1489,1242,1377,1305,1222,1138,1301,1013,1009,1536,15247
Naphtha,623,739,676,763,832,679,794,586,707,625,614,682,8322
ATF#,551,542,336,415,440,559,536,525,504,380,454,503,5745
SKO,1,1,1,1,1,1,1,1,1,2,2,1,15
HSD,1621,1813,1813,2358,2410,3371,2357,2028,2580,1562,2056,2498,26469
LDO,0,0,0,0,0,0,8,8,7,8,0,0,30
LOBS/ Lube Oil,4,0,7,1,1,1,1,1,1,0,1,5,20
Fuel Oil,495,419,551,560,752,570,577,498,434,288,515,499,6159
Bitumen,5,6,5,16,14,9,12,10,9,4,4,0,95
Others,400,525,365,342,599,601,603,565,626,200,340,369,5535
TOTAL  PRODUCT EXPORT,4930,5465,5262,5716,6446,7115,6126,5376,6190,4106,5017,6114,67864
NET IMPORT,12661,13186,10090,12053,12524,9514,10821,10324,11040,13052,12993,9814,138071
Note :,,,,,,,,,,,,,
Source: Oil Companies & DGCIS  P= Provisional,,,,,,,,,,,,,
Source: Oil Companies & DGCIS  P= Provisional,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
RIL SEZ imports/exports included in country's import/export data,,,,,,,,,,,,,
^LNG import not included ,,,,,,,,,,,,,
"& Others in import include Petcoke, Paraffin wax, Petroleum Jelly, Aviation Gas, MTBE, Reformate etc.",,,,,,,,,,,,,
"@ Nepal sales by IOCL, Nepal and Bhutan sales by BPCL are considered in total exports with average Rupee-US$ exchange rate ",,,,,,,,,,,,,
! RIL SEZ's MS export includes export of Alkylates,,,,,,,,,,,,,
# ATF exports by RIL  does not include ATF sales to foreign going airlines,,,,,,,,,,,,,
"% Others in export include Petcoke/CBFS, Benzene, Hexane, MTO, Sulphur etc.",,,,,,,,,,,,,
