Petroleum Planning & Analysis Cell,,,,,,,,,,,
                                                                                                            Petroleum Prices and Under-Recoveries                                                                                                            ,,,,,,,,,,,
Table posted on : 01.11.2021 Period : 2011-2022,,,,,,,,,,,
Month,Fortnight,Fortnightly Pricing Period,,"Average International FOB Price
& Exchange rate",,,Product-wise Under / (Over) recovery of Public Sector Oil Marketing Companies (OMCs),,,,
,,From,To,Crude Oil (Indian Basket),Exchange Rate,Crude Oil (Indian Basket),Diesel**,Monthly Pricing Period,,"PDS Kerosene
*>",Domestic LPG*
,,,,($/bbl.),(Rs./US$),(Rs./bbl.),(Rs./Litre),From,To,(Rs./Litre),(Rs./14.2 kg Cylinder)
01-04-11,01-04-21,12-03-2011,29-03-2011,110.19,44.98,"4,956.35",14.89,25-02-2011,29-03-2011,26.97,315.86
,16-04-21,30-03-2011,12-04-2011,116.68,44.36,"5,175.92",16.1,,,,
01-05-11,01-05-21,13-04-2011,27-04-2011,118.86,44.45,"5,283.33",16.17,30-03-2011,27-04-2011,28.27,329.73
,16-05-21,28-04-2011,11-05-2011,114.47,44.54,"5,098.49",14.66,,,,
01-06-11,01-06-21,12-05-2011,27-05-2011,109.04,45.11,"4,918.79",12.64,28-04-2011,27-05-2011,26.15,381.14
,16-06-21,28-05-2011,13-06-2011,112.48,44.84,"5,043.60",10.68,,,,
01-07-11,01-07-21,14-06-2011,28-06-2011,108.34,44.91,"4,865.55",4.79,28-05-2011,28-06-2011,23.76,291.82
,16-07-21,29-06-2011,13-07-2011,110.24,44.54,"4,910.09",5,,,,
01-08-11,01-08-21,14-07-2011,27-07-2011,113.89,44.41,"5,057.85",6.06,29-06-2011,27-07-2011,23.74,247
,16-08-21,28-07-2011,10-08-2011,108.92,44.55,"4,852.39",4.97,,,,
01-09-11,01-09-21,11-08-2011,29-08-2011,106.08,45.67,"4,844.67",4.57,28-07-2011,29-08-2011,23.25,267
,16-09-21,30-08-2011,13-09-2011,111.03,46.29,"5,139.58",6.05,,,,
01-10-11,01-10-21,14-09-2011,28-09-2011,108.05,48.47,"5,237.18",6.9,30-08-2011,28-09-2011,24.63,270
,16-10-21,29-09-2011,12-10-2011,102.75,49.16,"5,051.19",6.61,,,,
01-11-11,01-11-21,13-10-2011,26-10-2011,108.6,49.4,"5,364.84",8.58,29-09-2011,26-10-2011,25.66,260.5
,16-11-21,27-10-2011,11-11-2011,109.57,49.32,"5,403.99",10.17,,,,
01-12-11,01-12-21,12-11-2011,28-11-2011,109.23,51.5,"5,625.35",12.03,27-10-2011,28-11-2011,28.55,287
,16-12-21,29-11-2011,13-12-2011,108.92,51.98,"5,661.66",11.51,,,,
01-01-12,01-01-21,14-12-2011,28-12-2011,105.84,53.07,"5,616.93",11.3,29-11-2011,28-12-2011,28.5,325.5
,16-01-21,29-12-2011,11-01-2012,109.83,52.86,"5,805.61",12.95,,,,
01-02-12,01-02-21,12-01-2012,27-01-2012,110.36,50.65,"5,589.73",11.35,29-12-2011,27-01-2012,28.76,378
,16-02-21,28-01-2012,13-02-2012,113.21,49.25,"5,575.59",10.94,,,,
01-03-12,01-03-21,14-02-2012,27-02-2012,120.14,49.19,"5,909.69",12.12,28-01-2012,27-02-2012,28.53,439
,16-03-21,28-02-2012,13-03-2012,123.55,49.68,"6,137.96",13.1,,,,
01-04-12,01-04-21,14-03-2012,28-03-2012,123.66,50.55,"6,251.01",14.36,28-02-2012,28-03-2012,31.03,570.68
,16-04-21,29-03-2012,11-04-2012,121.28,51.13,"6,201.05",14.29,,,,
01-05-12,01-05-21,12-04-2012,26-04-2012,116.45,51.96,"6,050.74",13.91,29-03-2012,26-04-2012,31.48,480.31
,16-05-21,27-04-2012,11-05-2012,113.25,53.17,"6,021.50",13.64,,,,
01-06-12,01-06-21,12-05-2012,29-05-2012,106.58,54.96,"5,857.64",12.53,27-04-2012,29-05-2012,30.53,396
,16-06-21,30-05-2012,13-06-2012,98.58,55.69,"5,489.92",10.2,,,,
01-07-12,01-07-21,14-06-2012,27-06-2012,92.81,56.33,"5,227.99",9.13,30-05-2012,27-06-2012,27.2,319.2
,16-07-21,28-06-2012,11-07-2012,96.47,55.61,"5,364.70",9.95,,,,
01-08-12,01-08-21,12-07-2012,27-07-2012,101.76,55.57,"5,654.80",12.06,28-06-2012,27-07-2012,28.54,231
,16-08-21,28-07-2012,10-08-2012,105.77,55.52,"5,872.35",13.76,,,,
01-09-12,01-09-21,11-08-2012,29-08-2012,112.12,55.58,"6,231.63",16.59,28-07-2012,29-08-2012,32.7,347
,16-09-21,30-08-2012,12-09-2012,112.9,55.59,"6,276.11",13.6,,,,
01-10-12,01-10-21,13-09-2012,26-09-2012,110.96,54.12,"6,005.16",11.65,30-08-2012,26-09-2012,33.93,468.46
,16-10-21,27-09-2012,11-10-2012,110.16,52.54,"5,787.81",9.82,,,,
01-11-12,01-11-21,12-10-2012,29-10-2012,109.82,53.28,"5,851.21",9.84,27-09-2012,29-10-2012,31.3,478.45
,16-11-21,30-10-2012,13-11-2012,106.77,54.24,"5,791.20",9.06,,,,
01-12-12,01-12-21,14-11-2012,28-11-2012,108.66,55.21,"5,999.12",10.03,30-10-2012,28-11-2012,30.93,520.77
,16-12-21,29-11-2012,12-12-2012,107.3,54.54,"5,852.14",9.28,,,,
01-01-13,01-01-21,13-12-2012,27-12-2012,107.35,54.77,"5,879.56",9.03,29-11-2012,27-12-2012,30.63,490.74
,16-01-21,28-12-2012,11-01-2013,109.08,54.77,"5,974.31",9.21,,,,
Month,Fortnight,Fortnightly Pricing Period,,"Average International FOB Price
& Exchange rate",,,Product-wise Under / (Over) recovery of Public Sector Oil Marketing Companies (OMCs),,,,
,,From,To,Crude Oil (Indian Basket),Exchange Rate,Crude Oil (Indian Basket),Diesel**,Monthly Pricing Period,,"PDS Kerosene
*>",Domestic LPG*
,,,,($/bbl.),(Rs./US$),(Rs./bbl.),(Rs./Litre),From,To,(Rs./Litre),(Rs./14.2 kg Cylinder)
01-02-13,01-02-21,12-01-2013,29-01-2013,109.38,54.11,"5,918.55",9.22,28-12-2012,29-01-2013,31.6,481.03
,16-02-21,30-01-2013,13-02-2013,113.24,53.43,"6,050.41",10.27,,,,
01-03-13,01-03-21,14-02-2013,26-02-2013,112.73,54.15,"6,104.33",11.26,30-01-2013,26-02-2013,33.43,439.07
,16-03-21,27-02-2013,13-03-2013,107.41,54.4,"5,843.10",8.39,,,,
01-04-13,01-04-21,14-03-2013,25-03-2013,105.74,54.28,"5,739.57",6.52,27-02-2013,25-03-2013,30.49,434.52
,16-04-21,26-03-2013,11-04-2013,105.37,54.51,"5,743.72",6.42,,,,
01-05-13,01-05-21,12-04-2013,26-04-2013,99.16,54.26,"5,380.42",3.5,26-03-2013,26-04-2013,27.93,378.38
,16-05-21,27-04-2013,13-05-2013,101.4,54.23,"5,498.92",3.73,,,,
01-06-13,01-06-21,14-05-2013,29-05-2013,101.16,55.32,"5,596.17",4.87,27-04-2013,29-05-2013,27.75,335.14
,16-06-21,30-05-2013,12-06-2013,100.53,57.08,"5,738.25",6.31,,,,
01-07-13,01-07-21,13-06-2013,26-06-2013,101.51,58.94,"5,983.00",8.13,30-05-2013,26-06-2013,30.52,368.58
,16-07-21,27-06-2013,11-07-2013,102.79,60.03,"6,170.48",9.45,,,,
01-08-13,01-08-21,12-07-2013,29-07-2013,105.96,59.49,"6,303.56",9.29,27-06-2013,29-07-2013,33.54,411.99
,16-08-21,30-07-2013,12-08-2013,105.97,60.91,"6,454.63",10.22,,,,
01-09-13,01-09-21,13-08-2013,28-08-2013,108.83,63.88,"6,952.06",12.12,30-07-2013,28-08-2013,36.83,470.38
,16-09-21,29-08-2013,11-09-2013,111.85,66.02,"7,384.34",14.5,,,,
01-10-13,01-10-21,12-09-2013,26-09-2013,108.53,62.78,"6,813.51",10.51,29-08-2013,26-09-2013,38.32,532.86
,16-10-21,27-09-2013,11-10-2013,107.12,61.9,"6,630.73",10.24,,,,
01-11-13,01-11-21,12-10-2013,29-10-2013,107.45,61.51,"6,609.25",9.58,27-09-2013,29-10-2013,35.77,482.41
,16-11-21,30-10-2013,13-11-2013,105.24,62.44,"6,571.19",9.69,,,,
01-12-13,01-12-21,14-11-2013,27-11-2013,107.61,62.64,"6,740.69",9.99,30-10-2013,27-11-2013,36.2,542.71
,16-12-21,28-11-2013,11-12-2013,109.07,61.88,"6,749.25",10.48,,,,
01-01-14,01-01-21,12-12-2013,27-12-2013,108.46,62.02,"6,726.69",9.34,28-11-2013,27-12-2013,37.33,762.7
,16-01-21,28-12-2013,13-01-2014,106.18,62.07,"6,590.59",8.47,,,,
01-02-14,01-02-21,14-01-2014,29-01-2014,105.17,61.97,"6,517.38",7.39,28-12-2013,29-01-2014,35.77,655.96
,16-02-21,30-01-2014,12-02-2014,104.98,62.46,"6,557.05",8.31,,,,
01-03-14,01-03-21,13-02-2014,26-02-2014,107.14,62.12,"6,655.54",8.37,30-01-2014,26-02-2014,36.34,605.8
,16-03-21,27-02-2014,12-03-2014,106.18,61.44,"6,523.70",7.16,,,,
01-04-14,01-04-21,13-03-2014,26-03-2014,104.71,60.9,"6,376.84",5.93,27-02-2014,26-03-2014,34.43,506.06
,16-04-21,27-03-2014,10-04-2014,104.21,60.07,"6,259.89",5.49,,,,
01-05-14,01-05-21,11-04-2014,28-04-2014,106.75,60.54,"6,462.65",6.59,27-03-2014,28-04-2014,33.84,449.13
,16-05-21,29-04-2014,13-05-2014,105.71,60.1,"6,353.17",4.41,,,,
01-06-14,01-06-21,14-05-2014,28-05-2014,107.57,58.81,"6,326.19",2.8,29-04-2014,28-05-2014,32.87,432.71
,16-06-21,29-05-2014,11-06-2014,106.65,59.17,"6,310.48",1.62,,,,
01-07-14,01-07-21,12-06-2014,26-06-2014,110.74,60.03,"6,647.72",3.4,29-05-2014,26-06-2014,33.07,449.17
,16-07-21,27-06-2014,11-07-2014,108.02,59.94,"6,474.72",2.49,,,,
01-08-14,01-08-21,12-07-2014,29-07-2014,105.43,60.16,"6,342.67",1.33,27-06-2014,29-07-2014,32.98,447.87
,16-08-21,30-07-2014,12-08-2014,103.86,60.97,"6,332.34",1.78,,,,
01-09-14,01-09-21,13-08-2014,26-08-2014,100.71,60.73,"6,116.12",0.08,30-07-2014,26-08-2014,32.67,427.82
,16-09-21,27-08-2014,11-09-2014,99.52,60.54,"6,024.94",-0.35,,,,
01-10-14,01-10-21,12-09-2014,26-09-2014,95.61,61,"5,832.21",-1.9,27-08-2014,26-09-2014,31.22,404.64
,16-10-21,27-09-2014,10-10-2014,92.02,61.4,"5,650.03",-3.56,,,,
01-11-14,01-11-21,11-10-2014,29-10-2014,84.77,61.32,"5,198.10",-,27-09-2014,29-10-2014,27.6,393.77
,16-11-21,30-10-2014,12-11-2014,81.31,61.46,"4,997.31",,,,,
01-12-14,01-12-21,13-11-2014,26-11-2014,76.43,61.8,"4,723.37",,30-10-2014,26-11-2014,25.69,279.91
,16-12-21,27-11-2014,11-12-2014,67.24,61.95,"4,165.52",,,,,
01-01-15,01-01-21,12-12-2014,29-12-2014,58.12,63.26,"3,676.67",,27-11-2014,29-12-2014,19.46,235.91
,16-01-21,30-12-2014,13-01-2015,49.42,63.05,"3,115.93",,,,,
01-02-15,01-02-21,14-01-2015,28-01-2015,45.32,61.7,"2,796.24",,30-12-2014,28-01-2015,13.32,139.23
,16-02-21,29-01-2015,11-02-2015,52.7,61.84,"3,258.97",,,,,
01-03-15,01-03-21,12-02-2015,25-02-2015,57.84,62.22,"3,598.80",,29-01-2015,25-02-2015,16.19,143.68
,16-03-21,26-02-2015,11-03-2015,58.21,62.17,"3,618.92",,,,,
Month,Fortnight,Fortnightly Pricing Period,,"Average International FOB Price
& Exchange rate",,,Product-wise Under / (Over) recovery of Public Sector Oil Marketing Companies (OMCs) & Cash Transfer to customer under DBTL,,,,
,,From,To,Crude Oil (Indian Basket),Exchange Rate,Crude Oil (Indian Basket),Monthly Pricing Period,,"PDS Kerosene
*>",Domestic LPG©,
,,,,,,,,,,Cash Transfer by Govt. to customer under DBTL*,Cash Transfer by OMCs towards Uncompensated Costs under DBTL*
,,,,($/bbl.),(Rs./US$),(Rs./bbl.),From,To,(Rs./Litre),(Rs./14.2 kg Cylinder),
01-04-15,01-04-21,12-03-2015,27-03-2015,53.61,62.54,"3,352.77",26-02-2015,27-03-2015,16.55,173.74,29.44
,16-04-21,28-03-2015,10-04-2015,54.92,62.38,"3,425.91",,,,,
01-05-15,01-05-21,11-04-2015,28-04-2015,60.3,62.85,"3,789.86",28-03-2015,28-04-2015,17.13,168.74,29.44
,16-05-21,29-04-2015,13-05-2015,64.5,63.79,"4,114.46",,,,,
01-06-15,01-06-21,14-05-2015,27-05-2015,63.49,63.72,"4,045.58",29-04-2015,27-05-2015,20.1,179.24,29.44
,16-06-21,28-05-2015,11-06-2015,62.08,63.9,"3,966.91",,,,,
01-07-15,01-07-21,12-06-2015,26-06-2015,61.66,63.83,"3,935.76",28-05-2015,26-06-2015,18.51,141.59,49.09
,16-07-21,27-06-2015,13-07-2015,58.69,63.56,"3,730.34",,,,,
01-08-15,01-08-21,14-07-2015,29-07-2015,55.15,63.68,"3,511.95",27-06-2015,29-07-2015,14.95,118.09,49.09
,15-08-21,30-07-2015,12-08-2015,50.68,64,"3,243.52",,,,,
01-09-15,01-09-21,13-08-2015,27-08-2015,46.03,65.7,"3,024.17",30-07-2015,27-08-2015,11.76,92.59,49.09
,16-09-21,28-08-2015,11-09-2015,47.42,66.37,"3,147.27",,,,,
01-10-15,01-10-21,12-09-2015,28-09-2015,45.27,66.08,"2,991.44",28-08-2015,28-09-2015,13.46,65.51,34.17
,16-10-21,29-09-2015,13-10-2015,47.7,65.31,"3,115.29",,,,,
01-11-15,01-11-21,14-10-2015,28-10-2015,45.55,64.96,"2,958.93",29-09-2015,28-10-2015,13.31,78.92,48.26
,16-11-21,29-10-2015,10-11-2015,45.58,65.67,"2,993.24",,,,,
01-12-15,01-12-21,11-11-2015,26-11-2015,41.17,66.21,"2,725.87",29-10-2015,26-11-2015,12.93,140.42,48.26
,16-12-21,27-11-2015,11-12-2015,39.02,66.73,"2,603.80",,,,,
01-01-16,01-01-21,12-12-2015,29-12-2015,33.58,66.53,"2,234.08",27-11-2015,29-12-2015,9.16,190.51,47.66
,16-01-21,30-12-2015,13-01-2016,30.63,66.61,"2,040.26",,,,,
01-02-16,01-02-21,14-01-2016,27-01-2016,26.05,67.68,"1,763.06",30-12-2015,27-01-2016,5.11,108.12,47.66
,16-02-21,28-01-2016,11-02-2016,30.05,67.91,"2,040.70",,,,,
01-03-16,01-03-21,12-02-2016,25-02-2016,30.61,68.48,"2,096.17",28-01-2016,25-02-2016,6.58,46.71,47.66
,16-03-21,26-02-2016,11-03-2016,34.82,67.68,"2,356.62",,,,,
01-04-16,01-04-21,12-03-2016,29-03-2016,37.29,66.82,"2,491.72",26-02-2016,29-03-2016,8.73,42.11,48.26
,16-04-21,30-03-2016,12-04-2016,37,66.41,"2,457.17",,,,,
01-05-16,01-05-21,13-04-2016,27-04-2016,41.11,66.51,"2,734.23",30-03-2016,27-04-2016,9.12,65.8,42.55
,16-05-21,28-04-2016,11-05-2016,43.02,66.5,"2,860.83",,,,,
01-06-16,01-06-21,12-05-2016,27-05-2016,46.21,67.11,"3,101.15",28-04-2016,27-05-2016,11.73,86.77,42.55
,16-06-21,28-05-2016,13-06-2016,47.63,67.04,"3,193.12",,,,,
01-07-16,01-07-21,14-06-2016,28-06-2016,46.34,67.48,"3,127.02",28-05-2016,28-06-2016,13.12,73.09,43.25
,16-07-21,29-06-2016,13-07-2016,45.17,67.38,"3,043.55",,,,,
01-08-16,01-08-21,14-07-2016,27-07-2016,43.2,67.16,"2,901.31",29-06-2016,27-07-2016,11.49,29.93,33.98
,16-08-21,28-07-2016,10-08-2016,40.73,66.87,"2,723.62",,,,,
01-09-16,01-09-21,11-08-2016,29-08-2016,46.2,67,"3,095.40",28-07-2016,29-08-2016,10.03,7.46,33.98
,16-09-21,30-08-2016,13-09-2016,45.03,66.74,"3,005.30",,,9.78,,
01-10-16,01-10-21,14-09-2016,28-09-2016,43.95,66.81,"2,936.30",30-08-2016,28-09-2016,10.5,28.23,34.68
,16-10-21,29-09-2016,12-10-2016,48.69,66.61,"3,243.24",,,10.25,,
01-11-16,01-11-21,13-10-2016,26-10-2016,49.53,66.81,"3,309.10",29-09-2016,26-10-2016,12.25,70.74,28.12
,16-11-21,27-10-2016,11-11-2016,44.8,66.76,"2,990.85",,,12,,
01-12-16,01-12-21,12-11-2016,28-11-2016,44.87,68.23,"3,061.48",27-10-2016,28-11-2016,10.51,123.17,28.12
,16-12-21,29-11-2016,13-12-2016,50.85,68.05,"3,460.34",,,10.26,,
01-01-17,01-01-21,14-12-2016,28-12-2016,53.05,67.86,"3,599.97",29-11-2016,28-12-2016,12.78,121.87,28.42
